1090780780	20220324	202203	2022	2022.2301											LEG	LEGISLATURE						LEG			0	051	051	05	1	3.4	10	1	10	0.82009226037929	0								3	East Stroudsburg University Of Pennsylvania, Pennsylvania, United States	US	USPA		40.9959	-75.1721	1212276	3	East Stroudsburg University Of Pennsylvania, Pennsylvania, United States	US	USPA		40.9959	-75.1721	1212276	20230324090000	https://www.msn.com/en-us/news/politics/women-have-more-power-than-ever-in-pennsylvanias-legislature-but-lawmakers-say-big-hurdles-remain/ar-AA18YK7O
1090780781	20220324	202203	2022	2022.2301											UKR	UKRAINE	UKR								0	051	051	05	1	3.4	5	1	5	1.46750524109015	0								1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20230324090000	https://www.bucksfreepress.co.uk/news/23407319.chesham-royal-british-legion-club-loses-home-lease-ends/
1090780782	20220324	202203	2022	2022.2301											VEN	VENEZUELA	VEN								0	042	042	04	1	1.9	2	1	2	1.7825311942959	0								4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	20230324090000	https://scvnews.com/single-cats/_city/
1090780783	20220324	202203	2022	2022.2301	ARG	ARGENTINA	ARG								AUS	AUSTRALIAN	AUS								1	071	071	07	2	7.4	2	1	2	-1.14942528735633	1	Argentina	AR	AR		-34	-64	AR	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20230324090000	https://www.futurefarming.com/crop-solutions/how-an-eu-glyphosate-ban-would-affect-farmers-globally/
1090780784	20220324	202203	2022	2022.2301	ARG	ARGENTINA	ARG								AUS	AUSTRALIA	AUS								1	071	071	07	2	7.4	1	1	1	-1.14942528735633	1	Canada	CA	CA		60	-96	CA	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20230324090000	https://www.futurefarming.com/crop-solutions/how-an-eu-glyphosate-ban-would-affect-farmers-globally/
1090780785	20220324	202203	2022	2022.2301	CAN	CANADA	CAN								AUS	AUSTRALIAN	AUS								1	071	071	07	2	7.4	2	1	2	-1.14942528735633	1	Canada	CA	CA		60	-96	CA	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20230324090000	https://www.futurefarming.com/crop-solutions/how-an-eu-glyphosate-ban-would-affect-farmers-globally/
1090780786	20220324	202203	2022	2022.2301	CAN	CANADA	CAN								AUS	AUSTRALIA	AUS								1	071	071	07	2	7.4	1	1	1	-1.14942528735633	1	United Kingdom	UK	UK		54	-4	UK	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20230324090000	https://www.futurefarming.com/crop-solutions/how-an-eu-glyphosate-ban-would-affect-farmers-globally/
1090780787	20220324	202203	2022	2022.2301	EDU	UNIVERSITY						EDU			LAB	WORKER						LAB			1	080	080	08	2	5.0	8	1	8	-0.25974025974026	3	Sacramento, California, United States	US	USCA	CA067	38.5816	-121.494	1659564	3	Sacramento, California, United States	US	USCA	CA067	38.5816	-121.494	1659564	3	Sacramento, California, United States	US	USCA	CA067	38.5816	-121.494	1659564	20230324090000	https://www.sacbee.com/news/politics-government/capitol-alert/article273431690.html
1090780788	20220324	202203	2022	2022.2301	GBR	UNITED KINGDOM	GBR								AUS	AUSTRALIAN	AUS								1	071	071	07	2	7.4	2	1	2	-1.14942528735633	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20230324090000	https://www.futurefarming.com/crop-solutions/how-an-eu-glyphosate-ban-would-affect-farmers-globally/
1090780789	20220324	202203	2022	2022.2301	GBR	UNITED KINGDOM	GBR								AUS	AUSTRALIAN	AUS								1	071	071	07	2	7.4	3	1	3	-1.14942528735633	1	United Kingdom	UK	UK		54	-4	UK	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20230324090000	https://www.futurefarming.com/crop-solutions/how-an-eu-glyphosate-ban-would-affect-farmers-globally/
1090780790	20220324	202203	2022	2022.2301	IGOEUREEC	THE EU	EUR	EEC				IGO			AUS	AUSTRALIAN	AUS								1	071	071	07	2	7.4	3	1	3	-1.14942528735633	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20230324090000	https://www.futurefarming.com/crop-solutions/how-an-eu-glyphosate-ban-would-affect-farmers-globally/
1090780791	20220324	202203	2022	2022.2301	IRL	IRELAND	IRL																		0	164	164	16	4	-7.0	4	1	4	3.44086021505376	4	Carlow, Carlow, Ireland	EI	EI01	18292	52.8408	-6.92611	-1501356	0								4	Carlow, Carlow, Ireland	EI	EI01	18292	52.8408	-6.92611	-1501356	20230324090000	https://carlow-nationalist.ie/2023/03/24/brexit-deal-set-for-formal-sign-off-in-wake-of-uk-commons-vote-success/
